

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  2.500E-03 2.44959E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 2.259E-13, 7.063E-15)  1.26E-07
  2.750E-03 2.44949E-16  0.000E+00 ( 1.564E-08, 4.891E-10) ( 2.485E-13, 7.769E-15)  1.26E-07
  3.000E-03 2.44937E-16  0.000E+00 ( 1.564E-08, 4.891E-10) ( 2.710E-13, 8.475E-15)  1.26E-07
  3.250E-03 2.44924E-16  0.000E+00 ( 1.564E-08, 4.891E-10) ( 2.936E-13, 9.181E-15)  1.26E-07
  3.500E-03 2.44910E-16  0.000E+00 ( 1.564E-08, 4.891E-10) ( 3.162E-13, 9.886E-15)  1.26E-07
  3.750E-03 2.44896E-16  0.000E+00 ( 1.564E-08, 4.891E-10) ( 3.388E-13, 1.059E-14)  1.25E-07
  4.000E-03 2.44880E-16  0.000E+00 ( 1.564E-08, 4.890E-10) ( 3.613E-13, 1.130E-14)  1.25E-07
  4.250E-03 2.44863E-16  0.000E+00 ( 1.564E-08, 4.890E-10) ( 3.839E-13, 1.200E-14)  1.25E-07
  4.500E-03 2.44845E-16  0.000E+00 ( 1.564E-08, 4.890E-10) ( 4.065E-13, 1.271E-14)  1.25E-07
  4.750E-03 2.44826E-16  0.000E+00 ( 1.564E-08, 4.889E-10) ( 4.290E-13, 1.341E-14)  1.25E-07
  5.000E-03 2.44807E-16  0.000E+00 ( 1.564E-08, 4.889E-10) ( 4.516E-13, 1.412E-14)  1.24E-07
  5.250E-03 2.44786E-16  0.000E+00 ( 1.564E-08, 4.889E-10) ( 4.742E-13, 1.482E-14)  1.24E-07
  5.500E-03 2.44764E-16  0.000E+00 ( 1.564E-08, 4.888E-10) ( 4.967E-13, 1.553E-14)  1.24E-07
  5.750E-03 2.44741E-16  0.000E+00 ( 1.564E-08, 4.888E-10) ( 5.193E-13, 1.623E-14)  1.23E-07
  6.000E-03 2.44717E-16  0.000E+00 ( 1.564E-08, 4.888E-10) ( 5.418E-13, 1.694E-14)  1.23E-07
