 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  1.375E+01  1.43290E-02  5.60815E-22  2.00271E-05  1.99075E-05   7.1E-09
  1.400E+01  1.48521E-02  5.22938E-22  1.86744E-05  1.85507E-05   6.1E-09
  1.425E+01  1.53845E-02  4.88241E-22  1.74354E-05  1.73082E-05   4.8E-09
  1.450E+01  1.59262E-02  4.56407E-22  1.62986E-05  1.61686E-05   3.6E-09
  1.475E+01  1.64770E-02  4.27155E-22  1.52540E-05  1.51219E-05   2.4E-09
  1.500E+01  1.70371E-02  4.00237E-22  1.42927E-05  1.41590E-05   1.9E-09
  1.525E+01  1.76063E-02  3.75432E-22  1.34069E-05  1.32720E-05   2.2E-09
  1.550E+01  1.81848E-02  3.52542E-22  1.25895E-05  1.24537E-05   3.0E-09
  1.575E+01  1.87724E-02  3.31391E-22  1.18342E-05  1.16980E-05   3.8E-09
  1.600E+01  1.93692E-02  3.11823E-22  1.11354E-05  1.09990E-05   4.4E-09
  1.625E+01  1.99751E-02  2.93696E-22  1.04881E-05  1.03518E-05   4.7E-09
  1.650E+01  2.05901E-02  2.76884E-22  9.88771E-06  9.75180E-06   4.7E-09
  1.675E+01  2.12143E-02  2.61273E-22  9.33025E-06  9.19489E-06   4.4E-09
  1.700E+01  2.18476E-02  2.46762E-22  8.81203E-06  8.67741E-06   4.0E-09
